Reference, Quantity, Value, Footprint, Datasheet
C1 C2 ,2,18pF,biopotenciales:C_0603,
C14 C15 ,2,47pF,biopotenciales:C_0603,
C11 C16 C25 C30 ,4,0.1uF,biopotenciales:C_0603,
C12 C17 C19 C26 ,4,10uF,biopotenciales:C_0603,
C20 ,1,4.7uF,biopotenciales:c_tant_A,
C21 C23 C24 C28 C31 ,5,1uF,biopotenciales:C_0603,
C27 ,1,100uF,biopotenciales:C_1206,
C29 ,1,1nF,biopotenciales:C_0603,
C13 C3 C5 C7 C9 ,5,10nF,biopotenciales:C_0603,
C10 C18 C22 C4 C6 C8 ,6,100nF,biopotenciales:C_0603,
CN1 CN2 CN3 ,3,CKCL44X7R1H,biopotenciales:Cap_Array_4,
D1 ,1,Led_bicolor,biopotenciales:Led_bicolor,
D2 ,1,D_Schottky,biopotenciales:diode_0603,
D3 ,1,BAT54C,biopotenciales:sot23,
D4 ,1,LED,biopotenciales:LED_0603,
J1 J2 J3 J4 J5 J6 J7 J8 J9 ,9,Jack_Touch-Proof,biopotenciales:Jack_TouchProof_1.5mm,
J10 ,1,PXG.M0.2GG.NG,biopotenciales:PXG.M0.2GG.NG,
J11 ,1,PXG.M1.0GG.NG,biopotenciales:PXG.M1.0GG.NG,
J12 ,1,PXG.M0.4GG.NG,biopotenciales:PXG.M0.4GG.NG,
J13 ,1,USB_B,biopotenciales:USB_B-smd,
J14 J17 ,2,PXG.M0.2GG.NG,,
J15 J18 ,2,PXG.M0.4GG.NG,,
J16 J19 ,2,PXG.M1.0GG.NG,,
JP1 JP2 ,2,JUMPER,biopotenciales:R_0603,
L1 L2 L3 L4 ,4,INDUCTOR_SMALL,biopotenciales:FER-0805,
NT1 ,1,Net_Tie,biopotenciales:Net_tie,
P1 ,1,CONN_01X10,Pin_Headers:Pin_Header_Straight_1x10,
P2 ,1,JTAG,biopotenciales:Pin_Header_Straight_1x08,
P4 P6 ,2,CONN_01X05,biopotenciales:Pin_Header_Straight_1x05,
P3 P5 ,2,CONN_01X03,biopotenciales:Pin_Header_Straight_1x03,
Q1 Q2 ,2,Q_NMOS_SGD,biopotenciales:sot23,
R13 R14 ,2,27,biopotenciales:R_0603,
R15 ,1,0R,biopotenciales:R_0603,
R17 ,1,1M,biopotenciales:R_0603,
R11 R12 R2 R7 ,4,10k,biopotenciales:R_0603,
R3 ,1,12k,biopotenciales:R_0603,
R1 R4 R5 ,3,1k,biopotenciales:R_0603,
R10 R6 ,2,330k,biopotenciales:R_0603,
R16 R8 R9 ,3,560,biopotenciales:R_0603,
RN1 RN2 RN3 ,3,CAY16-F4_R-ARRAY,biopotenciales:r_cay16-4,
S1 ,1,SW_PUSH,biopotenciales:SW_Tactile_SPST_Angled,
U1 U2 U3 ,3,TPD4E1B06,biopotenciales:TSOP-6_2x1.25mm_Pitch0.65mm,
U4 ,1,LPC1769FBD100,biopotenciales:LQFP-100_14x14mm_Pitch0.5mm,
U5 ,1,ADUM6201CRWZ,biopotenciales:SOIC-16_7.5x10.3mm_Pitch1.27mm,
U6 ,1,TPD2E001DRLR,biopotenciales:5-Flat_Leads_1.2x1.6mmPitch_0.5mm,
U7 ,1,FT230XS,biopotenciales:SSOP-16_3.9x4.9mm_Pitch0.635mm,
U8 ,1,ADS1299,biopotenciales:LQFP-64_10x10mm_Pitch0.5mm,
VR1 ,1,LP5907_3.3V,biopotenciales:sot23-5,
Y1 ,1,12MHz,biopotenciales:XTAL_AM3B,